hand,win,tie,lose
AAo,0.8493,0.0054,0.14529999999999996
AKo,0.6446,0.017,0.33840000000000003
AKs,0.6620999999999999,0.0165,0.3214000000000001
AQo,0.635,0.0184,0.3466
AQs,0.6531,0.0179,0.32899999999999996
AJo,0.6253,0.020499999999999997,0.3542
AJs,0.6439,0.0199,0.33619999999999994
ATo,0.6156,0.023,0.36139999999999994
ATs,0.6347999999999999,0.0222,0.3430000000000001
A9o,0.5943999999999999,0.0264,0.3792000000000001
A9s,0.615,0.0254,0.35960000000000003
A8o,0.5837,0.029900000000000003,0.3864
A8s,0.605,0.0287,0.3663
A7o,0.5716,0.0334,0.395
A7s,0.5938,0.0319,0.3743
A6o,0.5587,0.0362,0.4051
A6s,0.5817,0.0345,0.38380000000000003
A5o,0.5574,0.039,0.4036
A5s,0.5806,0.0371,0.3823
A4o,0.5473,0.039900000000000005,0.4128
A4s,0.5713,0.0379,0.3908
A3o,0.5385,0.0397,0.4218
A3s,0.5633,0.0377,0.39899999999999997
A2o,0.5294,0.039599999999999996,0.43100000000000005
A2s,0.555,0.0374,0.40759999999999996
KKo,0.8210999999999999,0.0055000000000000005,0.17340000000000005
KQo,0.6043,0.0204,0.3753000000000001
KQs,0.624,0.019799999999999998,0.3562
KJo,0.5943999999999999,0.0225,0.38310000000000005
KJs,0.6147,0.0218,0.3635
KTo,0.5849,0.0248,0.39030000000000004
KTs,0.6058,0.024,0.3702
K9o,0.564,0.027999999999999997,0.40800000000000003
K9s,0.5863,0.027000000000000003,0.38669999999999993
K8o,0.5443,0.0317,0.424
K8s,0.5679,0.0304,0.40170000000000006
K7o,0.5341,0.0354,0.4305
K7s,0.5584,0.0338,0.4078
K6o,0.5229,0.0385,0.4386
K6s,0.5479999999999999,0.036699999999999997,0.41530000000000006
K5o,0.5125,0.0412,0.44630000000000003
K5s,0.5383,0.0391,0.4226
K4o,0.5022,0.042,0.45580000000000004
K4s,0.5288,0.039900000000000005,0.43129999999999996
K3o,0.49329999999999996,0.0418,0.46490000000000004
K3s,0.5207,0.039599999999999996,0.4397
K2o,0.4842,0.0417,0.4741
K2s,0.5123,0.0394,0.44830000000000003
QQo,0.7963,0.0058,0.1979
QJo,0.569,0.0245,0.40650000000000003
QJs,0.5907,0.023700000000000002,0.3856
QTo,0.5594,0.0268,0.4138
QTs,0.5817,0.0259,0.3924
Q9o,0.5386,0.029900000000000003,0.43150000000000005
Q9s,0.5622,0.0288,0.409
Q8o,0.5193,0.0333,0.4474
Q8s,0.5440999999999999,0.032,0.42390000000000005
Q7o,0.499,0.037200000000000004,0.4638
Q7s,0.5252,0.0355,0.4393
Q6o,0.4899,0.0405,0.4696
Q6s,0.5167,0.038599999999999995,0.4447
Q5o,0.47950000000000004,0.0432,0.47729999999999995
Q5s,0.5071,0.041100000000000005,0.4518
Q4o,0.4692,0.044000000000000004,0.48679999999999995
Q4s,0.4976,0.0418,0.46059999999999995
Q3o,0.46020000000000005,0.0438,0.49599999999999994
Q3s,0.4893,0.0416,0.46909999999999996
Q2o,0.451,0.0437,0.5053
Q2s,0.48100000000000004,0.041299999999999996,0.4776999999999999
JJo,0.7715000000000001,0.0063,0.22219999999999993
JTo,0.5382,0.028399999999999998,0.4334
JTs,0.5615,0.0274,0.4111
J9o,0.5163,0.0322,0.4515
J9s,0.5411,0.031,0.42789999999999995
J8o,0.4971,0.0355,0.46740000000000004
J8s,0.5231,0.034,0.44289999999999996
J7o,0.4772,0.0391,0.4836999999999999
J7s,0.5045000000000001,0.0374,0.45809999999999995
J6o,0.4571,0.0426,0.5003
J6s,0.4857,0.0406,0.4737
J5o,0.449,0.0455,0.5055
J5s,0.4782,0.0433,0.47850000000000004
J4o,0.4386,0.0463,0.5151
J4s,0.4686,0.044000000000000004,0.4874
J3o,0.4296,0.0461,0.5243
J3s,0.4604,0.0437,0.49590000000000006
J2o,0.4204,0.045899999999999996,0.5337000000000001
J2s,0.452,0.0435,0.5045000000000001
TTo,0.7465999999999999,0.006999999999999999,0.24640000000000006
T9o,0.49810000000000004,0.034300000000000004,0.4676
T9s,0.5236999999999999,0.033,0.4433
T8o,0.4781,0.038,0.48390000000000005
T8s,0.505,0.0365,0.4585
T7o,0.4582,0.0415,0.5003000000000001
T7s,0.4865,0.0397,0.47380000000000005
T6o,0.4384,0.044800000000000006,0.5167999999999999
T6s,0.46799999999999997,0.042800000000000005,0.4892
T5o,0.41850000000000004,0.0478,0.5337
T5s,0.4493,0.0455,0.5052
T4o,0.4105,0.0489,0.5406
T4s,0.442,0.04650000000000001,0.5115000000000001
T3o,0.40149999999999997,0.0487,0.5498000000000001
T3s,0.4337,0.0462,0.5201
